id,user_id,ip_address,success
1,112,10.0.55.173,True
2,101,10.0.167.235,True
3,103,10.0.237.233,True
4,114,10.0.59.36,True
5,102,10.0.155.127,True
6,108,10.0.69.100,True
7,118,10.0.214.151,True
8,105,10.0.212.168,True
9,116,10.0.208.241,False
10,102,10.0.189.56,True
11,108,10.0.185.26,False
12,112,10.0.183.16,True
13,107,10.0.62.243,True
14,115,10.0.46.170,True
15,120,10.0.10.13,True
16,108,10.0.64.202,True
17,103,10.0.106.151,True
18,108,10.0.168.199,True
19,120,10.0.1.71,True
20,105,10.0.66.139,True
21,106,10.0.56.170,True
22,105,10.0.7.92,True
23,108,10.0.165.5,True
24,102,10.0.64.190,True
25,104,10.0.32.122,True
26,112,10.0.55.116,True
27,120,10.0.22.187,True
28,117,10.0.154.118,True
29,101,10.0.31.123,True
30,114,10.0.55.126,True
