id,service_id,employee_id,customer_id,request_date,is_won,sales_order_id
1,1,25,,2026-03-27,False,
2,4,2,,2026-06-03,True,34.0
3,2,26,,2026-04-16,True,30.0
4,5,11,,2026-04-05,False,
5,5,14,,2026-05-29,False,
6,4,15,28.0,2026-01-01,False,
7,3,25,,2026-05-15,False,
8,1,23,15.0,2026-01-15,False,
9,1,5,29.0,2025-11-07,True,37.0
10,1,14,23.0,2026-03-18,True,14.0
11,4,13,2.0,2026-06-17,True,15.0
12,5,13,29.0,2026-04-23,False,
13,4,18,25.0,2026-05-28,True,27.0
14,4,8,,2026-01-08,False,
15,6,22,11.0,2026-03-17,False,
16,2,20,,2026-05-22,False,
17,1,21,19.0,2026-03-29,True,2.0
18,4,11,2.0,2025-12-08,True,20.0
19,4,9,29.0,2026-03-25,False,
20,3,8,1.0,2026-07-20,True,5.0
21,1,8,,2025-12-02,True,3.0
22,2,16,8.0,2026-07-30,False,
23,6,9,,2026-02-26,True,21.0
24,1,25,24.0,2025-11-13,True,32.0
25,3,19,1.0,2026-08-03,False,
26,2,3,23.0,2026-06-21,False,
27,6,25,4.0,2026-01-23,False,
28,5,26,4.0,2025-09-12,False,
29,5,21,12.0,2026-02-12,True,6.0
30,4,12,16.0,2026-07-13,True,8.0
31,4,6,5.0,2026-05-16,False,
32,5,25,26.0,2026-04-26,False,
33,5,9,,2026-02-03,False,
34,1,9,,2026-04-09,False,
35,4,11,20.0,2025-09-05,True,35.0
